top - 15:18:28 up  1:05,  1 user,  load average: 1,39, 1,28, 1,33
Tasks: 255 total,   4 running, 250 sleeping,   1 stopped,   0 zombie
%Cpu(s): 30,6 us,  2,9 sy,  0,0 ni, 63,7 id,  2,7 wa,  0,0 hi,  0,1 si,  0,0 st
KiB Mem :  6103252 total,   115084 free,  5615760 used,   372408 buff/cache
KiB Swap: 11717628 total, 11491324 free,   226304 used.   137720 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 3924 damian    20   0 1222376 920520   3676 R  88,9 15,1  53:44.88 python2
 1090 root      20   0  373792   4660      0 S  44,4  0,1   0:02.81 snapd
 7519 root       0 -20       0      0      0 S   5,6  0,0   0:00.44 kworker/2:+
 8267 damian    20   0   43020   3872   3224 R   5,6  0,1   0:00.02 top
    1 root      20   0  120212   3204   1564 S   0,0  0,1   0:02.04 systemd
    2 root      20   0       0      0      0 S   0,0  0,0   0:00.00 kthreadd
    6 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 mm_percpu_+
    7 root      20   0       0      0      0 S   0,0  0,0   0:00.18 ksoftirqd/0
    8 root      20   0       0      0      0 S   0,0  0,0   0:03.72 rcu_sched
    9 root      20   0       0      0      0 S   0,0  0,0   0:00.00 rcu_bh
   10 root      rt   0       0      0      0 S   0,0  0,0   0:00.00 migration/0
   11 root      rt   0       0      0      0 S   0,0  0,0   0:00.01 watchdog/0
   12 root      20   0       0      0      0 S   0,0  0,0   0:00.00 cpuhp/0
   13 root      20   0       0      0      0 S   0,0  0,0   0:00.00 cpuhp/1
   14 root      rt   0       0      0      0 S   0,0  0,0   0:00.01 watchdog/1
   15 root      rt   0       0      0      0 S   0,0  0,0   0:00.01 migration/1
   16 root      20   0       0      0      0 S   0,0  0,0   0:00.17 ksoftirqd/1
   19 root      20   0       0      0      0 S   0,0  0,0   0:00.00 cpuhp/2
   20 root      rt   0       0      0      0 S   0,0  0,0   0:00.00 watchdog/2
   21 root      rt   0       0      0      0 S   0,0  0,0   0:00.00 migration/2
   22 root      20   0       0      0      0 S   0,0  0,0   0:00.33 ksoftirqd/2
   25 root      20   0       0      0      0 S   0,0  0,0   0:00.00 cpuhp/3
   26 root      rt   0       0      0      0 S   0,0  0,0   0:00.01 watchdog/3
   27 root      rt   0       0      0      0 S   0,0  0,0   0:00.00 migration/3
   28 root      20   0       0      0      0 S   0,0  0,0   0:00.27 ksoftirqd/3
   31 root      20   0       0      0      0 S   0,0  0,0   0:00.00 kdevtmpfs
   32 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 netns
   33 root      20   0       0      0      0 S   0,0  0,0   0:00.81 kworker/0:1
   34 root      20   0       0      0      0 S   0,0  0,0   0:06.75 kworker/1:1
   35 root      20   0       0      0      0 S   0,0  0,0   0:00.00 khungtaskd
   36 root      20   0       0      0      0 S   0,0  0,0   0:00.00 oom_reaper
   37 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 writeback
   38 root      20   0       0      0      0 S   0,0  0,0   0:00.00 kcompactd0
   39 root      25   5       0      0      0 S   0,0  0,0   0:00.00 ksmd
   40 root      39  19       0      0      0 S   0,0  0,0   0:00.00 khugepaged
   41 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 crypto
   42 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 kintegrityd
   43 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 kblockd
   44 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 ata_sff
   45 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 md
   46 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 edac-poller
   47 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 devfreq_wq
   48 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 watchdogd
   49 root      20   0       0      0      0 S   0,0  0,0   0:00.59 kworker/2:1
   52 root      20   0       0      0      0 S   0,0  0,0   0:00.00 kauditd
   53 root      20   0       0      0      0 S   0,0  0,0   0:12.35 kswapd0
   54 root      20   0       0      0      0 S   0,0  0,0   0:00.00 ecryptfs-k+
   96 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 kthrotld
   97 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 acpi_therm+
   98 root      20   0       0      0      0 S   0,0  0,0   0:00.00 scsi_eh_0
   99 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 scsi_tmf_0
